"ind_index" "x" "y" "phenotype1_mat" "phenotype2_MTWetQ" "phenotype3_MTDQ" "phenotype4_PDM" "phenotype5_PwarmQ" "phenotype6_PWM" "env1_mat" "env2_MTWetQ" "env3_MTDQ" "env4_PDM" "env5_PwarmQ" "env6_PWM"
348 0.102789 0.92798 0.160247 0.3864 0.00216615 0.101997 0.187629 -0.106782 0.213929 0.411858 -0.00888773 -0.0385933 0.0999814 -0.175297
352 0.558939 0.683668 -0.201075 -0.441838 0.0513442 0.122645 0.190585 -0.0519288 -0.274323 -0.411022 0.00169775 0.147681 0.10998 -0.0484168
359 0.271611 0.616187 -0.232044 -0.451885 0.10068 0.433829 0.283521 0.351664 -0.0880172 -0.336029 0.0716698 0.537286 0.299761 0.550264
382 0.595926 0.672235 -0.201075 -0.441838 0.0513442 0.122645 0.190585 -0.0519288 -0.088359 -0.341347 0.120764 0.0788342 0.0793392 -0.0900105
385 0.812422 0.760677 -0.197633 0.250757 -0.218747 -0.307916 0.565537 0.249528 -0.134761 0.316362 -0.217106 -0.359245 0.505332 0.194305
386 0.903845 0.389732 -0.582723 0.140466 -0.368673 0.0344048 0.169739 0.0972886 -0.532567 0.120443 -0.37467 0.0895571 0.141864 0.0542177
397 0.0315828 0.593752 0.186628 0.427225 -0.0494679 -0.534821 -0.433468 -0.453527 0.0286528 0.355978 -0.107104 -0.495084 -0.345193 -0.429404
404 0.905827 0.496933 -0.582723 0.140466 -0.368673 0.0344048 0.169739 0.0972886 -0.553073 0.121217 -0.383688 -0.0708265 0.263643 0.113778
405 0.556696 0.328845 0.0716702 -0.37014 0.203927 0.450454 0.0584986 0.451002 -0.0723304 -0.342386 0.0958879 0.370315 0.0312778 0.411146
412 0.432148 0.183353 0.231697 -0.433292 -0.0567511 -0.117897 -0.511938 -0.341921 0.143704 -0.292385 -0.0658245 -0.223407 -0.443456 -0.475344
423 0.528845 0.168209 0.561615 -0.260377 0.375563 0.169497 -0.23249 0.0582537 0.408908 -0.225912 0.366559 0.184107 -0.17702 0.116418
437 0.545792 0.289517 -0.00436151 -0.349105 0.151848 0.204275 -0.00961304 0.321021 -0.0981982 -0.342214 0.0826681 0.316649 -0.0302041 0.277386
438 0.38191 0.501685 0.316408 -0.375671 0.104927 -0.0501471 -0.162174 -0.189718 0.369128 -0.260898 0.0645769 -0.0604014 -0.155985 -0.241392
449 0.736009 0.168437 0.0369535 -0.380696 0.0921795 0.489566 -0.00461083 0.36592 0.0376222 -0.313376 0.146936 0.482951 -0.0297787 0.460466
450 0.329255 0.631326 -0.246439 -0.334634 0.0951447 0.446224 0.209206 0.364738 -0.197547 -0.365178 0.00948757 0.442607 0.219355 0.35647
452 0.741501 0.453666 -0.225588 -0.27834 -0.0826956 0.154422 0.113097 0.0511501 -0.0380612 -0.376677 0.151963 0.207663 0.0523893 0.0762575
465 0.356192 0.579274 0.390058 -0.240031 0.183304 -0.0993722 -0.0720105 -0.23545 0.478578 -0.239462 0.120355 -0.0638524 -0.136732 -0.270663
469 0.121379 0.739193 0.288359 0.410899 0.018007 -0.288328 -0.149705 -0.363387 0.272778 0.423335 0.0171935 -0.191965 -0.0781396 -0.29579
479 0.306397 0.355845 0.233554 -0.191045 -0.0547616 -0.160458 -0.279085 -0.386259 0.170404 -0.28656 -0.0382784 -0.196424 -0.345367 -0.406628
480 0.663567 0.525101 0.345626 -0.360812 0.318694 0.282803 0.1187 0.482586 0.365111 -0.29967 0.398796 0.208212 0.0349931 0.303466
481 0.0794487 0.953602 0.248818 0.537499 -0.0649935 -0.252246 -0.0365083 -0.159071 0.289566 0.433014 0.0302608 -0.169072 0.00768511 -0.22763
487 0.994347 0.286105 -0.32837 0.17171 -0.257711 -0.0203308 0.134372 0.0167498 -0.283356 0.201227 -0.256445 -0.0595987 0.0929181 0.112451
502 0.469948 0.49547 0.14396 -0.206358 0.250297 0.162685 -0.104654 0.0579851 0.0429466 -0.330942 0.178063 0.211275 0.0172773 0.132022
505 0.728347 0.209578 -0.0777695 -0.387436 0.0245853 0.511847 0.0625761 0.377041 0.0290963 -0.318471 0.147785 0.434953 -0.0261806 0.44542
518 0.458044 0.406941 0.199531 -0.361337 0.170674 0.0853994 -0.0604829 0.0198031 0.103923 -0.309878 0.208705 0.102604 -0.0858705 -0.00743908
519 0.716332 0.987312 0.0776849 0.397533 -0.140338 -0.336142 0.586929 0.281302 0.103923 0.396828 -0.14132 -0.386413 0.53114 0.212751
520 0.591154 0.69547 -0.4432 0.231196 -0.41906 0.0802502 0.238734 -0.0212566 -0.519307 0.193913 -0.429576 0.129772 0.194589 -0.0900105
525 0.45939 0.982294 -0.412786 0.145371 -0.337522 0.117701 0.285604 -0.0446617 -0.386705 0.221901 -0.360944 0.15694 0.271715 -0.021201
530 0.27276 0.721989 0.399555 -0.192887 0.278741 0.249292 0.148704 0.0451736 0.343657 -0.199325 0.327833 0.209124 0.188132 0.00741258
531 0.145776 0.941683 0.0126034 -0.335722 0.11599 0.41922 0.518923 0.1628 -0.0945654 -0.366045 0.0925387 0.355591 0.376139 0.0837211
537 0.254175 0.554234 0.321043 0.474448 0.165565 -0.177605 -0.187381 -0.160361 0.422168 0.456304 0.0851666 -0.19624 -0.134951 -0.255153
554 0.46144 0.312088 0.256685 -0.278418 0.16675 -0.0399795 -0.185374 -0.0922509 0.231218 -0.275093 0.2791 0.0389536 -0.191244 -0.108886
569 0.551087 0.748958 -0.330607 -0.297587 -0.0135415 0.227338 0.184697 -0.0236 -0.273163 -0.305581 -0.00238676 0.106943 0.103147 -0.129098
572 0.601758 0.326597 -0.00272926 -0.321977 0.169589 0.674385 0.147969 0.918978 -0.0721569 -0.34573 0.103417 0.563612 0.117245 0.759817
573 0.286422 0.0615678 0.616887 -0.270575 0.144386 -0.257021 -0.58903 -0.533393 0.486774 -0.212366 0.126666 -0.381674 -0.678504 -0.511829
582 0.788108 0.935159 0.0660119 0.38934 -0.0947651 -0.367076 0.653174 0.351758 0.117183 0.410822 -0.148183 -0.413581 0.608266 0.295323
607 0.189041 0.334918 0.406505 0.414751 0.034619 -0.373919 -0.507412 -0.608912 0.365359 0.353149 0.0617044 -0.426147 -0.522358 -0.546821
629 0.257287 0.762996 0.165869 0.237337 -0.0622869 0.144519 0.159623 0.124196 0.353609 0.432498 0.0290918 0.218559 0.239732 0.0512985
641 0.575946 0.399992 0.194818 -0.289926 0.378403 0.660035 0.111074 0.68224 0.266895 -0.277578 0.301934 0.497324 0.1088 0.700056
644 0.474913 0.0959435 0.579294 -0.203276 0.130443 -0.124323 -0.456921 -0.366515 0.5702 -0.195713 0.158396 -0.169756 -0.433159 -0.372389
649 0.47706 0.508309 0.237352 -0.213393 0.22993 0.195905 0.0296572 0.0468338 0.382388 -0.264396 0.387149 0.26561 0.068382 0.185228
652 0.70328 0.0570041 -0.123582 -0.30668 0.731776 0.46179 -0.037517 0.472673 -0.157935 -0.343204 0.727099 0.537286 -0.030277 0.382827
665 0.92396 0.295586 -0.343847 0.267667 -0.348745 0.0484452 0.0485195 0.00211852 -0.4099 0.157722 -0.324709 0.101309 0.0444082 0.0327171
670 0.853589 0.546052 -0.424463 0.20665 -0.45959 -0.101109 0.296644 0.134909 -0.423996 0.229491 -0.407698 -0.0755519 0.278476 0.0676549
671 0.120553 0.851376 0.283024 0.326003 0.166446 0.0768479 0.0309556 -0.240113 0.274792 0.424417 0.0176622 -0.0452661 0.073089 -0.192439
678 0.604061 0.464645 -0.130767 -0.391215 0.114193 0.387924 0.102019 0.449969 -0.216754 -0.39156 0.0288086 0.419505 0.151332 0.506953
681 0.283459 0.949031 -0.161239 -0.427327 0.026063 0.479783 0.331671 0.197053 -0.0754416 -0.348701 0.10083 0.495896 0.407614 0.250111
688 0.452344 0.768517 -0.162567 -0.431231 0.0640289 0.228411 0.168432 0.059494 -0.201062 -0.390344 0.037124 0.238443 0.0964279 0.0338467
692 0.095471 0.177904 -0.15159 -0.338711 0.0366459 -0.0632714 -0.426284 0.00903081 -0.0371784 -0.305827 0.0703036 0.00335429 -0.408155 -0.0465245
695 0.185881 0.264991 0.0706115 -0.346634 0.0349329 -0.213321 -0.493211 -0.405489 0.0111017 -0.309878 -0.127594 -0.19624 -0.422421 -0.365249
705 0.407591 0.839745 -0.304552 -0.354657 -0.0759202 0.302045 0.267618 0.0522162 -0.360184 -0.407837 -0.0726877 0.319945 0.222635 0.0613705
725 0.917932 0.524241 -0.365127 0.335684 -0.321792 -0.298729 0.25258 0.18513 -0.247115 0.223184 -0.396506 -0.214946 0.239802 0.108441
733 0.822575 0.22502 0.0495743 -0.264105 -0.113128 -0.0224468 -0.174098 -0.107364 0.102346 -0.321561 -0.0903609 -0.0102906 -0.169156 -0.153474
740 0.0437729 0.801958 -0.0555103 0.412392 -0.141998 -0.34365 -0.131659 -0.244162 -0.0987663 0.318861 -0.170733 -0.277743 -0.0528152 -0.268915
753 0.802807 0.898367 -0.0739958 0.406588 -0.249334 -0.345439 0.575096 0.287542 0.0111017 0.375837 -0.182499 -0.440748 0.616734 0.309085
766 0.924561 0.422364 -0.582723 0.140466 -0.368673 0.0344048 0.169739 0.0972886 -0.542408 0.120768 -0.379198 -0.0309935 0.18989 0.103791
780 0.891278 0.786845 -0.0771751 0.33278 -0.542456 -0.545458 0.576165 0.261066 -0.0298806 0.368364 -0.447324 -0.467916 0.584202 0.288754
797 0.363947 0.843845 -0.347087 -0.414826 -0.0771041 0.319471 0.268006 0.185123 -0.439746 -0.418332 -0.134457 0.428616 0.313784 0.171466
808 0.831061 0.855222 -0.0976621 0.363427 -0.121072 -0.435369 0.619606 0.362281 0.0111017 0.372338 -0.175636 -0.440748 0.601254 0.295323
815 0.0186283 0.668956 0.148446 0.344367 -0.0129231 -0.360738 -0.345183 -0.463969 0.00779005 0.34938 -0.115581 -0.440748 -0.261157 -0.392773
816 0.230554 0.331978 0.406505 0.414751 0.034619 -0.373919 -0.507412 -0.608912 0.287971 0.41516 0.0294353 -0.356526 -0.464349 -0.515252
845 0.325499 0.724993 -0.198004 -0.46368 -0.0463164 0.511616 0.288097 0.435416 -0.254103 -0.37635 -0.0246451 0.537286 0.313784 0.405418
855 0.0500645 0.246399 -0.115205 -0.276325 -0.0230833 -0.0324649 -0.342662 -0.101129 -0.0226279 -0.308845 0.0892197 -0.142634 -0.424115 -0.21276
857 0.166365 0.0886194 0.0576163 -0.303201 0.7316 0.195679 -0.36711 0.196296 -0.148021 -0.320373 0.694108 0.184107 -0.373341 0.0789157
861 0.810695 0.271586 0.0333595 -0.255541 -0.105148 0.00572063 -0.109891 -0.10125 0.174415 -0.312547 -0.0567923 -0.063621 -0.164659 -0.147776
874 0.339202 0.823691 -0.161239 -0.427327 0.026063 0.479783 0.331671 0.197053 -0.248662 -0.38088 -0.0218289 0.474941 0.309649 0.259684
885 0.631541 0.392166 -0.479389 -0.498316 -0.259334 0.455564 0.110404 0.488506 -0.518036 -0.444188 -0.167692 0.457458 0.144452 0.358381
886 0.645596 0.394654 -0.194189 -0.383246 0.0849969 0.609163 0.131316 0.730576 -0.172452 -0.377149 0.129609 0.618789 0.192969 0.87867
891 0.0841457 0.0405274 0.163337 -0.212206 0.767262 0.243419 -0.419047 0.538474 0.156964 -0.236408 0.846986 0.211275 -0.380353 0.625609
897 0.248721 0.216125 0.352482 -0.227078 0.0625987 -0.327387 -0.663928 -0.476267 0.302827 -0.246904 0.037124 -0.359245 -0.548628 -0.557915
901 0.208768 0.844193 -0.0615256 -0.341786 -0.0114061 0.533827 0.461654 0.367548 -0.141071 -0.360706 0.0417999 0.618789 0.495715 0.293159
907 0.682542 0.39258 -0.358973 -0.447528 -0.0940859 0.70461 0.223712 0.694621 -0.292028 -0.40718 -0.0222837 0.594745 0.201329 0.726108
911 0.120311 0.200823 -0.15159 -0.338711 0.0366459 -0.0632714 -0.426284 0.00903081 -0.0996388 -0.320722 0.0361606 -0.0216861 -0.393129 -0.12701
