PopID,PopLoc
Pop1,MassWinter
Pop2,MassRed
Pop3,MassSpring
Pop4,CashesOlive
Pop5,CashesRed
Pop6,SWOff
Pop7,SWNear
Pop8,NEOff
Pop9,NENear
