gene	Gene.Ontology.IDs
LOC111112899	GO:0004031; GO:0004497; GO:0004499; GO:0005789; GO:0006629; GO:0006805; GO:0047822; GO:0050660; GO:0050661; GO:0070995; GO:0090181; GO:0106294
LOC111132492	GO:0004031; GO:0004497; GO:0004499; GO:0005789; GO:0006629; GO:0006805; GO:0047822; GO:0050660; GO:0050661; GO:0070995; GO:0090181; GO:0106294
LOC111119795	GO:0001525; GO:0005635; GO:0005737; GO:0006915; GO:0016620; GO:0030154; GO:0051287
LOC111107488	GO:0000381; GO:0000398; GO:0000791; GO:0001178; GO:0003729; GO:0005634; GO:0008380; GO:0010468; GO:0016607; GO:0031440; GO:0045292
LOC111119804	GO:0005737; GO:0005739; GO:0006103; GO:0006520; GO:0009058; GO:0016212; GO:0030170; GO:0042803; GO:0047315; GO:0047804; GO:0070189; GO:0097053
LOC111100676	GO:0003727; GO:0004521; GO:0005759; GO:0008270; GO:0090502
LOC111113840	GO:0003997; GO:0005504; GO:0005777; GO:0006091; GO:0006629; GO:0006693; GO:0019395; GO:0033540; GO:0071949
LOC111100229	GO:0004252; GO:0005044; GO:0005576; GO:0005886; GO:0006508; GO:0006887; GO:0030424
LOC111126799	GO:0004930; GO:0005096; GO:0005886; GO:0007166; GO:0007189; GO:0007520; GO:0016322; GO:0016525; GO:0043083; GO:0048814; GO:0051965; GO:0061743; GO:0090128; GO:0098794; GO:0098839; GO:0099558; GO:0150053; GO:1905806
LOC111126799	GO:0002250; GO:0004930; GO:0005509; GO:0005886; GO:0007166; GO:0007189; GO:0009897; GO:0071944
LOC111107513	GO:0000278; GO:0000978; GO:0000981; GO:0005634; GO:0010468; GO:0045944
LOC111120507	GO:0000381; GO:0003723; GO:0005634; GO:0005829; GO:0006397; GO:0008380; GO:0030154; GO:0048255
LOC111131116	GO:0000413; GO:0003755; GO:0005737; GO:0006457
LOC111131100	GO:0000902; GO:0001667; GO:0003779; GO:0005576; GO:0005737; GO:0005886; GO:0005925; GO:0006898; GO:0007015; GO:0007163; GO:0007165; GO:0007190; GO:0008179; GO:0019933; GO:0030864; GO:0035578; GO:0070062
LOC111127723	GO:0004623; GO:0004806; GO:0005654; GO:0005737; GO:0005811; GO:0005829; GO:0005886; GO:0006651; GO:0010891; GO:0010898; GO:0016020; GO:0016411; GO:0019433; GO:0019915; GO:0034389; GO:0044242; GO:0050253; GO:0051264; GO:0051265; GO:0055088; GO:1905691
LOC111134031	GO:0001701
LOC111134031	GO:0001701
LOC111134068	GO:0003677; GO:0005524; GO:0005694; GO:0005737; GO:0006260; GO:0006281; GO:0006310; GO:0009378; GO:0009432; GO:0016887; GO:0030894; GO:0032508; GO:0043138; GO:0043590
LOC111108692	GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0006397; GO:0008270; GO:0008380; GO:0016607; GO:0019904; GO:0048025; GO:0051028; GO:0070062; GO:1990830
LOC111108729	GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0006397; GO:0008270; GO:0008380; GO:0016607; GO:0019904; GO:0048025; GO:0051028; GO:0070062; GO:1990830
LOC111107528	GO:0000002; GO:0000287; GO:0000723; GO:0000781; GO:0005524; GO:0005634; GO:0005739; GO:0006281; GO:0006310; GO:0010521; GO:0016887; GO:0017116; GO:0032204; GO:0032211; GO:0033678; GO:0042162; GO:0043139; GO:0051880; GO:0051974
LOC111108664	GO:0000126; GO:0001156; GO:0005634; GO:0005654; GO:0006355; GO:0070898
LOC111124769	GO:0000139; GO:0004869; GO:0005102; GO:0005794; GO:0007409; GO:0016409; GO:0018230; GO:0018345; GO:0019705; GO:0019706; GO:0030660; GO:0042734; GO:0042802; GO:0042953; GO:0042995; GO:0043067; GO:0043231; GO:0051386; GO:0070372; GO:0140439
LOC111124769	GO:0000139; GO:0007409; GO:0016409; GO:0018345; GO:0019705; GO:0019706; GO:0030659; GO:0042734; GO:0042995; GO:0046959; GO:0051386; GO:0070372; GO:0140439
LOC111116352	GO:0000346; GO:0016973; GO:0046872
LOC111116352	GO:0003723; GO:0005654; GO:0016973; GO:0046872
LOC111131392	GO:0005886; GO:0070062
LOC111135999	GO:0002161; GO:0002196; GO:0003676; GO:0004813; GO:0005524; GO:0005737; GO:0006419; GO:0006450; GO:0046872
LOC111136014	GO:0005576
LOC111125773	GO:0004725; GO:0005634; GO:0005737; GO:0005769; GO:0005886; GO:0006470; GO:0008138
LOC111126249	GO:0001653; GO:0002209; GO:0005886; GO:0007186; GO:0007204; GO:0007218; GO:0007629; GO:0008188; GO:0008344; GO:0008345; GO:0016020; GO:0032226
LOC111126222	GO:0001837; GO:0002903; GO:0005385; GO:0005886; GO:0006882; GO:0016324; GO:0030003; GO:0030890; GO:0050861; GO:0071577; GO:0071578; GO:0140410; GO:1903615
LOC111126202	GO:0005509; GO:0005576
LOC111126180	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225
LOC111126233	GO:0000981; GO:0005634; GO:0006357; GO:0043565; GO:0046872
LOC111126262	GO:0001837; GO:0002903; GO:0005385; GO:0005886; GO:0006882; GO:0016324; GO:0030003; GO:0030890; GO:0050861; GO:0071577; GO:0071578; GO:0140410; GO:1903615
LOC111126193	GO:0005509; GO:0005576
LOC111107546	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225
LOC111126242	GO:0000981; GO:0005634; GO:0006357; GO:0043565; GO:0046872
LOC111126165	GO:0005634
LOC111118494	GO:0005886; GO:0007186; GO:0008528; GO:0045434; GO:0046662
LOC111121258	GO:0004714; GO:0005524; GO:0005886; GO:0006468; GO:0006487; GO:0007169; GO:0007399; GO:0016020; GO:0033674; GO:0042127; GO:0043235; GO:0043410; GO:0045664; GO:0050769
LOC111107552	GO:0000785; GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0007628; GO:0019230; GO:0021522; GO:0048663; GO:0051960; GO:0097374
LOC111125754	GO:0005576; GO:0005813; GO:0005930; GO:0008017; GO:0030992; GO:0031113; GO:0036064; GO:0042073; GO:0043010; GO:0048793; GO:0060271; GO:0070507; GO:0090660
LOC111128006	GO:0001822; GO:0002003; GO:0003081; GO:0003084; GO:0004180; GO:0004222; GO:0005737; GO:0005886; GO:0008217; GO:0008237; GO:0008241; GO:0008270; GO:0008283; GO:0010814; GO:0010815; GO:0016020; GO:0031404; GO:0042445; GO:0042447; GO:0048167; GO:0060319; GO:0070573
LOC111121435	GO:0000082; GO:0000086; GO:0000122; GO:0000287; GO:0000307; GO:0000781; GO:0000793; GO:0000805; GO:0000806; GO:0001673; GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005635; GO:0005654; GO:0005667; GO:0005737; GO:0005768; GO:0005813; GO:0005829; GO:0006260; GO:0006281; GO:0006338; GO:0006351; GO:0006468; GO:0006813; GO:0007099; GO:0007165; GO:0007265; GO:0008284; GO:0010033; GO:0010389; GO:0010468; GO:0015030; GO:0018105; GO:0019904; GO:0030332; GO:0031453; GO:0031571; GO:0032298; GO:0043687; GO:0045893; GO:0051298; GO:0051301; GO:0051321; GO:0071732; GO:0090398; GO:0097123; GO:0097124; GO:0097134; GO:0097135; GO:0097472; GO:0106310; GO:1905784
LOC111111362	GO:0005254; GO:0005313; GO:0005326; GO:0005436; GO:0005886; GO:0006817; GO:0006820; GO:0008021; GO:0015386; GO:0015813; GO:0030672; GO:0034707; GO:0035249; GO:0043005; GO:0044341; GO:0050803; GO:0051938; GO:0055062; GO:0060076; GO:0098700; GO:0140788
LOC111112466	GO:0005044; GO:0005576; GO:0015031; GO:0019898; GO:0030154; GO:0035375; GO:0042589; GO:0050829; GO:0050830
LOC111112488	GO:0003050; GO:0004175; GO:0004252; GO:0005044; GO:0005576; GO:0005886; GO:0007565; GO:0008217; GO:0009986; GO:0015629; GO:0016486; GO:0016604; GO:0030182; GO:0031410; GO:0035813
LOC111134404	GO:0004516; GO:0005829; GO:0006979; GO:0016740; GO:0034355; GO:0046872
LOC111099693	GO:0003677; GO:0003713; GO:0005634; GO:0005654; GO:0007338; GO:0010468; GO:0016570; GO:0016746; GO:0032259; GO:0035097; GO:0035264; GO:0042054; GO:0042393; GO:0042800; GO:0044666; GO:0045944; GO:0046872; GO:0048146; GO:0061029; GO:0140945; GO:0140999
LOC111133136	GO:0003957; GO:0005739; GO:0005743; GO:0005746; GO:0006099; GO:0006740; GO:0008746; GO:0016020; GO:0050661; GO:0051287; GO:0072593; GO:1902600
LOC111103250	GO:0000287; GO:0004450; GO:0005739; GO:0005743; GO:0005777; GO:0005829; GO:0006097; GO:0006099; GO:0006102; GO:0006103; GO:0006739; GO:0051287
LOC111136596	GO:0001764; GO:0005737; GO:0005815; GO:0005829; GO:0005856; GO:0005874; GO:0005929; GO:0005930; GO:0007605; GO:0008542; GO:0019228; GO:0019894; GO:0030111; GO:0034451; GO:0035249; GO:0035556; GO:0045202; GO:0045880; GO:0048813; GO:0060091; GO:0060271; GO:0072686; GO:1902017
LOC111107584	GO:0003714; GO:0003723; GO:0003724; GO:0005102; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005794; GO:0006364; GO:0006396; GO:0016070; GO:0016887; GO:0030331
LOC111116311	GO:0004484; GO:0004651; GO:0005524; GO:0005525; GO:0005634; GO:0006370; GO:0006396; GO:0006470; GO:0008138; GO:0008192; GO:0050355; GO:0140818
LOC111107594	GO:0001503; GO:0002062; GO:0005452; GO:0005886; GO:0008271; GO:0008272; GO:0015106; GO:0015108; GO:0015116; GO:0016324; GO:0019531; GO:0031528; GO:0035988; GO:1902358
LOC111107600	GO:0002040; GO:0004843; GO:0005737; GO:0008234; GO:0010803; GO:0016055; GO:0032088; GO:0045087; GO:0050728; GO:0060828; GO:0070431; GO:1990108
LOC111127975	GO:0005543; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0005886; GO:0005901; GO:0005911; GO:0007010; GO:0007165; GO:0008092; GO:0008289; GO:0016607; GO:0019898; GO:0030036; GO:0030100; GO:0032587; GO:0034451; GO:0036010; GO:0042802; GO:0043231; GO:0045806; GO:0048858; GO:0050804; GO:0055038; GO:0070300; GO:0070836; GO:0072584; GO:0097320; GO:0098978
LOC111127975	GO:0005543; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0005856; GO:0005886; GO:0005901; GO:0005911; GO:0007010; GO:0008092; GO:0008289; GO:0019898; GO:0030036; GO:0030100; GO:0032587; GO:0036010; GO:0042802; GO:0045806; GO:0048858; GO:0050804; GO:0055038; GO:0070300; GO:0070836; GO:0072584; GO:0097320; GO:0098978
LOC111119670	GO:0003919; GO:0005524; GO:0005737; GO:0006747
LOC111110298	GO:0005829; GO:0005886; GO:0016020; GO:0042470; GO:0042584
LOC111110515	GO:0003993; GO:0004725; GO:0046872
LOC111099701	GO:0006811; GO:0007283; GO:0008514; GO:0015347; GO:0015711; GO:0016020; GO:0016323; GO:0016324; GO:0030154; GO:0043252
LOC111116477	GO:0005840; GO:0042254; GO:1990904
LOC111119994	GO:0000082; GO:0000977; GO:0000978; GO:0000981; GO:0000987; GO:0001216; GO:0001228; GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0006357; GO:0006606; GO:0008284; GO:0043565; GO:0045893; GO:0045944; GO:0046983; GO:0070345; GO:0090575; GO:1905461; GO:1990837
LOC111103748	GO:0005684; GO:0071014
LOC111102144	GO:0005198; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030507; GO:0031430; GO:0043005; GO:0044325; GO:0045199; GO:0051117; GO:0072659
LOC111099981	GO:0005198; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030507; GO:0031430; GO:0043005; GO:0044325; GO:0045199; GO:0051117; GO:0072659
LOC111107621	GO:0005198; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030507; GO:0031430; GO:0043005; GO:0044325; GO:0045199; GO:0051117; GO:0072659
LOC111099987	GO:0005249; GO:0005886; GO:0006813; GO:0008076; GO:0030118; GO:0034765; GO:0042734; GO:0044305; GO:0071805; GO:0099508
LOC111107628	GO:0003865; GO:0005789; GO:0006694; GO:0006702; GO:0008584; GO:0009917; GO:0030154; GO:0030283; GO:0030539; GO:0047751; GO:0050213; GO:0061370
LOC111128645	GO:0005783; GO:0005789; GO:0005829; GO:0005886; GO:0008104; GO:0010729; GO:0015031; GO:0016020; GO:0019899; GO:0031252; GO:0042743; GO:0045177; GO:0050727; GO:0051604; GO:2000147; GO:2000609
LOC111128630	GO:0002385; GO:0004601; GO:0005509; GO:0005886; GO:0006952; GO:0006979; GO:0007476; GO:0008365; GO:0009611; GO:0012505; GO:0016175; GO:0019221; GO:0020037; GO:0035220; GO:0042335; GO:0042554; GO:0042742; GO:0042744; GO:0043020; GO:0043066; GO:0048085; GO:0051591; GO:0072593; GO:0106292; GO:0106293; GO:0106294
LOC111119548	GO:0006635; GO:0006707; GO:0016829; GO:0052572
LOC111111345	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0035091; GO:0035556; GO:0043576; GO:0045719; GO:0046777; GO:0070092; GO:0097009; GO:0106310
LOC111113657	GO:0005576; GO:0016491; GO:0071704; GO:0071949
LOC111109336	GO:0003844; GO:0004553; GO:0005737; GO:0005829; GO:0005977; GO:0005978; GO:0006091; GO:0030246; GO:0043169; GO:0043524; GO:0070062; GO:0102752
LOC111100388	GO:0006777; GO:0008265; GO:0016829; GO:0030151; GO:0030170; GO:0043545; GO:0102867
LOC111100392	GO:0001227; GO:0003690; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0005829; GO:0010468; GO:0016071; GO:0051252; GO:0070062; GO:1990829; GO:1990904
LOC111110917	GO:0004930; GO:0007166; GO:0007186; GO:0007189; GO:0007420; GO:0016020; GO:0016524; GO:0030246; GO:0043005
LOC111100769	GO:0001841; GO:0005385; GO:0005886; GO:0007165; GO:0010975; GO:0030003; GO:0031113; GO:0036293; GO:0048471; GO:0071578; GO:0140410; GO:1903561; GO:1903672; GO:1990138
LOC111100779	GO:0001525; GO:0004674; GO:0005635; GO:0005737; GO:0005829; GO:0006915; GO:0016620; GO:0030154; GO:0043068; GO:0045765; GO:0045944; GO:0046777; GO:0051170; GO:0051287
LOC111127185	GO:0005829; GO:0005925; GO:0007165; GO:0010811; GO:0043547; GO:0070062
LOC111137851	GO:0016226; GO:0097361
LOC111119641	GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005886; GO:0006334; GO:0031072; GO:0032781; GO:0042393; GO:0051087; GO:0101031
LOC111111370	GO:0004343; GO:0005783; GO:0005793; GO:0005794; GO:0006048; GO:0048029
LOC111119349	GO:0008113; GO:0033744; GO:0036211
LOC111104247	GO:0005743; GO:0006099; GO:0008177; GO:0022900; GO:0050660; GO:0102040
LOC111103119	GO:0000122; GO:0000977; GO:0000981; GO:0001655; GO:0001822; GO:0005634; GO:0006357; GO:0033339; GO:0035775; GO:0035776; GO:0035777; GO:0035778; GO:0035779; GO:0045892; GO:0046872; GO:0048382; GO:0048389; GO:0048793; GO:0072112; GO:1900107; GO:1903224
LOC111122300	GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0046872
LOC111113469	GO:0005539; GO:0005764; GO:0008449; GO:0008484; GO:0042340; GO:0043199; GO:0046872
LOC111101819	GO:0005737; GO:0005769; GO:0005829; GO:0007596; GO:0031084; GO:0046907; GO:0048066; GO:0060155; GO:1903232
LOC111120590	GO:0001736; GO:0001843; GO:0005737; GO:0005856; GO:0008589; GO:0010172; GO:0015031; GO:0016192; GO:0042995; GO:0048704; GO:0060271
LOC111102684	GO:0005783; GO:0005789; GO:0006006; GO:0006094; GO:0008643; GO:0015152; GO:0015760; GO:0016020; GO:0035435; GO:0042593; GO:0061513
LOC111118020	GO:0000836; GO:0030433
LOC111120726	GO:0005797; GO:0006486; GO:0007399; GO:0008417; GO:0018392; GO:0032580; GO:0036065; GO:0036071; GO:0046920
LOC111112060	GO:0006357; GO:0006367; GO:0006368; GO:0008023; GO:0070449; GO:0090734
LOC111110602	GO:0004045
LOC111134785	GO:0000139; GO:0001675; GO:0001764; GO:0005730; GO:0005794; GO:0005802; GO:0005886; GO:0007283; GO:0010996; GO:0016020; GO:0019065; GO:0030317; GO:0031410; GO:0120211
LOC111114949	GO:0004348; GO:0005576; GO:0005615; GO:0005976; GO:0006665; GO:0016798; GO:0046557; GO:0052859
LOC111132450	GO:0005861; GO:0006937
LOC111138471	GO:0004888; GO:0005892; GO:0007165; GO:0007268; GO:0014059; GO:0016020; GO:0022848; GO:0032991; GO:0034220; GO:0042391; GO:0042734; GO:0045202; GO:0045211; GO:0050877; GO:0051899; GO:0098691; GO:0099171; GO:1901363
LOC111120614	GO:0001750; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006974; GO:0007010; GO:0007224; GO:0008360; GO:0032391; GO:0036064; GO:0043231; GO:0060271
LOC111133402	GO:0005576; GO:0030246
LOC111118420	GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007049; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0030036; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711
LOC111118440	
LOC111118428	GO:0003729; GO:0032880; GO:0043005; GO:0043025; GO:0043204
LOC111134379	GO:0001664; GO:0003924; GO:0005525; GO:0005834; GO:0007191; GO:0007606; GO:0007608; GO:0031683; GO:0046872
LOC111134396	GO:0001664; GO:0003924; GO:0005525; GO:0005834; GO:0007191; GO:0007606; GO:0007608; GO:0031683; GO:0046872
LOC111134389	GO:0001664; GO:0003924; GO:0005525; GO:0005834; GO:0007191; GO:0007606; GO:0007608; GO:0031683; GO:0046872
LOC111108814	GO:0001664; GO:0003924; GO:0005525; GO:0005834; GO:0007191; GO:0007606; GO:0007608; GO:0031683; GO:0046872
LOC111107703	GO:0005829; GO:0008299; GO:0035269; GO:0042803; GO:0047349; GO:0048854; GO:0055001; GO:0060049; GO:0070567
LOC111107715	GO:0000398; GO:0005634; GO:0005654; GO:0005684; GO:0006281; GO:0016567; GO:0016607; GO:0018276; GO:0034247; GO:0046872; GO:0061630; GO:0070100; GO:0071005
LOC111115292	GO:0005886; GO:0042590
LOC111128699	GO:0005737
LOC111118739	GO:0000027; GO:0000956; GO:0003723; GO:0005730; GO:0005737; GO:0006364; GO:0030687; GO:0042273
LOC111120972	GO:0003729; GO:0032880; GO:0043005; GO:0043025; GO:0043204
LOC111120996	
LOC111113440	GO:0005576; GO:0030246
LOC111120130	GO:0001750; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006974; GO:0007010; GO:0007224; GO:0008360; GO:0032391; GO:0036064; GO:0043231; GO:0060271
LOC111109966	GO:0004888; GO:0005892; GO:0007165; GO:0007268; GO:0014059; GO:0016020; GO:0022848; GO:0032991; GO:0034220; GO:0042391; GO:0042734; GO:0045202; GO:0045211; GO:0050877; GO:0051899; GO:0098691; GO:0099171; GO:1901363
LOC111114555	GO:0004888; GO:0005892; GO:0007165; GO:0007268; GO:0014059; GO:0016020; GO:0022848; GO:0032991; GO:0034220; GO:0042391; GO:0042734; GO:0045202; GO:0045211; GO:0050877; GO:0051899; GO:0098691; GO:0099171; GO:1901363
LOC111131563	GO:0005861; GO:0006937
LOC111115794	GO:0004348; GO:0005576; GO:0005615; GO:0005976; GO:0006665; GO:0016798; GO:0046557; GO:0052859
LOC111135097	GO:0000139; GO:0001675; GO:0001764; GO:0005730; GO:0005794; GO:0005802; GO:0005886; GO:0007283; GO:0010996; GO:0016020; GO:0019065; GO:0030317; GO:0031410; GO:0120211
LOC111125674	GO:0006357; GO:0006367; GO:0006368; GO:0008023; GO:0070449; GO:0090734
LOC111121072	GO:0006486; GO:0008417; GO:0032580; GO:0036065; GO:0046920
LOC111115619	GO:0000836; GO:0030433
LOC111103260	GO:0005783; GO:0005789; GO:0006006; GO:0006094; GO:0008643; GO:0015152; GO:0015760; GO:0016020; GO:0035435; GO:0042593; GO:0061513
LOC111121050	GO:0001736; GO:0001843; GO:0005737; GO:0005856; GO:0008589; GO:0010172; GO:0015031; GO:0016192; GO:0042995; GO:0048704; GO:0060271
LOC111110619	GO:0005737; GO:0005769; GO:0005829; GO:0007596; GO:0031084; GO:0046907; GO:0048066; GO:0060155; GO:1903232
LOC111119188	GO:0005539; GO:0005764; GO:0008449; GO:0008484; GO:0042340; GO:0043199; GO:0046872
LOC111114865	GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0046872
LOC111114851	GO:0000122; GO:0000977; GO:0000981; GO:0001655; GO:0001822; GO:0005634; GO:0006357; GO:0033339; GO:0035775; GO:0035776; GO:0035777; GO:0035778; GO:0035779; GO:0045892; GO:0046872; GO:0048382; GO:0048389; GO:0048793; GO:0072112; GO:1900107; GO:1903224
LOC111100625	GO:0005743; GO:0006099; GO:0008177; GO:0022900; GO:0050660; GO:0102040
LOC111121775	GO:0008113; GO:0033744; GO:0036211
LOC111112118	GO:0004343; GO:0005783; GO:0005793; GO:0005794; GO:0006048; GO:0048029
LOC111119868	GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005886; GO:0006334; GO:0031072; GO:0032781; GO:0042393; GO:0051087; GO:0101031
LOC111112793	GO:0016226; GO:0097361
LOC111118845	GO:0005829; GO:0005925; GO:0007165; GO:0010811; GO:0043547; GO:0070062
LOC111118341	GO:0001525; GO:0004674; GO:0005635; GO:0005737; GO:0005829; GO:0006915; GO:0016620; GO:0030154; GO:0043068; GO:0045765; GO:0045944; GO:0046777; GO:0051170; GO:0051287
LOC111101079	GO:0001841; GO:0005385; GO:0005886; GO:0007165; GO:0010975; GO:0030003; GO:0031113; GO:0036293; GO:0048471; GO:0071578; GO:0140410; GO:1903561; GO:1903672; GO:1990138
LOC111104793	GO:0004930; GO:0007166; GO:0007186; GO:0007189; GO:0007420; GO:0016020; GO:0016524; GO:0030246; GO:0043005
LOC111102237	GO:0001227; GO:0003690; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0005829; GO:0010468; GO:0016071; GO:0051252; GO:0070062; GO:1990829; GO:1990904
LOC111102230	GO:0006777; GO:0008265; GO:0016829; GO:0030151; GO:0030170; GO:0043545; GO:0102867
LOC111110551	GO:0003844; GO:0004553; GO:0005737; GO:0005829; GO:0005977; GO:0005978; GO:0006091; GO:0030246; GO:0043169; GO:0043524; GO:0070062; GO:0102752
LOC111113808	GO:0005576; GO:0016491; GO:0071704; GO:0071949
LOC111109013	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0035091; GO:0035556; GO:0043576; GO:0045719; GO:0046777; GO:0070092; GO:0097009; GO:0106310
LOC111120862	GO:0006635; GO:0006707; GO:0016829; GO:0052572
LOC111136982	GO:0002385; GO:0004601; GO:0005509; GO:0005886; GO:0006952; GO:0006979; GO:0007476; GO:0008365; GO:0009611; GO:0012505; GO:0016175; GO:0019221; GO:0020037; GO:0035220; GO:0042335; GO:0042554; GO:0042742; GO:0042744; GO:0043020; GO:0043066; GO:0048085; GO:0051591; GO:0072593; GO:0106292; GO:0106293; GO:0106294
LOC111136993	GO:0005783; GO:0005789; GO:0005829; GO:0005886; GO:0008104; GO:0010729; GO:0015031; GO:0016020; GO:0019899; GO:0031252; GO:0042743; GO:0045177; GO:0050727; GO:0051604; GO:2000147; GO:2000609
LOC111125200	GO:0003865; GO:0005789; GO:0006694; GO:0006702; GO:0008584; GO:0009917; GO:0030154; GO:0030283; GO:0030539; GO:0047751; GO:0050213; GO:0061370
LOC111112095	GO:0005249; GO:0005886; GO:0006813; GO:0008076; GO:0030118; GO:0034765; GO:0042734; GO:0044305; GO:0071805; GO:0099508
LOC111107780	GO:0005198; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030507; GO:0031430; GO:0043005; GO:0044325; GO:0045199; GO:0051117; GO:0072659
LOC111136801	GO:0005198; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030507; GO:0031430; GO:0043005; GO:0044325; GO:0045199; GO:0051117; GO:0072659
LOC111136819	GO:0005684; GO:0071014
LOC111112369	GO:0000082; GO:0000977; GO:0000978; GO:0000981; GO:0000987; GO:0001216; GO:0001228; GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0006357; GO:0006606; GO:0008284; GO:0043565; GO:0045893; GO:0045944; GO:0046983; GO:0070345; GO:0090575; GO:1905461; GO:1990837
LOC111130039	GO:0005840; GO:0042254; GO:1990904
LOC111102490	GO:0006811; GO:0007283; GO:0008514; GO:0015347; GO:0015711; GO:0016020; GO:0016323; GO:0016324; GO:0030154; GO:0043252
LOC111111043	GO:0003993; GO:0004725; GO:0046872
LOC111112558	GO:0005829; GO:0005886; GO:0016020; GO:0042470; GO:0042584
LOC111113301	GO:0003919; GO:0005524; GO:0005737; GO:0006747
LOC111131872	GO:0005543; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0005886; GO:0005901; GO:0005911; GO:0007010; GO:0007165; GO:0008092; GO:0008289; GO:0016607; GO:0019898; GO:0030036; GO:0030100; GO:0032587; GO:0034451; GO:0036010; GO:0042802; GO:0043231; GO:0045806; GO:0048858; GO:0050804; GO:0055038; GO:0070300; GO:0070836; GO:0072584; GO:0097320; GO:0098978
LOC111131872	GO:0005543; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0005856; GO:0005886; GO:0005901; GO:0005911; GO:0007010; GO:0008092; GO:0008289; GO:0019898; GO:0030036; GO:0030100; GO:0032587; GO:0036010; GO:0042802; GO:0045806; GO:0048858; GO:0050804; GO:0055038; GO:0070300; GO:0070836; GO:0072584; GO:0097320; GO:0098978
LOC111114559	GO:0002040; GO:0004843; GO:0005737; GO:0008234; GO:0010803; GO:0016055; GO:0032088; GO:0045087; GO:0050728; GO:0060828; GO:0070431; GO:1990108
LOC111133196	GO:0005764; GO:0005765; GO:0005770; GO:0005829; GO:0015031; GO:0030425; GO:0031902; GO:0035091; GO:0043231; GO:0045202; GO:0080025; GO:0097352; GO:0098794; GO:0099170
LOC111133196	GO:0005764; GO:0005765; GO:0005770; GO:0005829; GO:0015031; GO:0030425; GO:0031902; GO:0035091; GO:0043231; GO:0080025; GO:0097352; GO:0098794; GO:0099170
LOC111115421	GO:0005576; GO:0005930; GO:0007288; GO:0035082; GO:0036126; GO:0060271; GO:0090660; GO:0120197; GO:1990716
LOC111114011	GO:0003677; GO:0005634; GO:0046872
LOC111122529	GO:0006325; GO:0016491; GO:0016570
LOC111136516	GO:0000242; GO:0000922; GO:0005737; GO:0005813; GO:0005868; GO:0005929; GO:0031021; GO:0035721; GO:0045503; GO:0045504; GO:0048704; GO:0060271; GO:0097546
LOC111135186	GO:0000139; GO:0001744; GO:0005795; GO:0006493; GO:0006688; GO:0007219; GO:0007293; GO:0007298; GO:0007299; GO:0008194; GO:0016020; GO:0016333; GO:0030707; GO:0042248; GO:0046981; GO:0047915
LOC111124603	GO:0004198; GO:0005509; GO:0005737; GO:0006508; GO:0007586
