gene	Gene.Ontology.IDs
LOC111102585	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001656; GO:0001759; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0007492; GO:0009952; GO:0009954; GO:0042733; GO:0045944; GO:0048856; GO:0060272; GO:1990837
LOC111099747	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0110039
LOC111129046	GO:0004748; GO:0005829; GO:0009263
LOC111115406	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952
LOC111135933	GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0006355
LOC111114430	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952
LOC111103592	GO:0003682; GO:0004518; GO:0005634; GO:0035098; GO:0035102; GO:0040029; GO:0046872
LOC111129120	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
LOC111135210	GO:0000981; GO:0003677; GO:0005634
LOC111113958	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952; GO:0048704
LOC111103230	GO:0000981; GO:0003677; GO:0005634
LOC111101640	GO:0000981; GO:0003677; GO:0005634
LOC111103171	GO:0000981; GO:0005634; GO:0043565
LOC111103163	GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872
LOC111102448	GO:0005743; GO:0008137; GO:0010181; GO:0045271; GO:0046872; GO:0051287; GO:0051539
LOC111100652	GO:0005654; GO:0005794; GO:0005829; GO:0010890; GO:0015248; GO:0016020; GO:0031902; GO:0032934; GO:0043231; GO:0045444
LOC111134791	GO:0000086; GO:0000209; GO:0000278; GO:0005737; GO:0005813; GO:0016567; GO:0019005; GO:0031146; GO:0051301
LOC111128971	GO:0003723; GO:0003725; GO:0003726; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006382; GO:0006396; GO:0006397; GO:0007274; GO:0008251; GO:0008285; GO:0016553; GO:0016556; GO:0021610; GO:0021618; GO:0021965; GO:0030336; GO:0035264; GO:0042802; GO:0044387; GO:0045070; GO:0045202; GO:0046872; GO:0050685; GO:0050884; GO:0051726; GO:0060384; GO:0060415; GO:0061744; GO:0097049
